PERIODO;DESTINO;TOTAL
31/12/1995;Paraguay;0,0038
31/12/1996;Paraguay;0,000031
31/12/1997;Estados Unidos;0,909898
31/12/1997;Resto;0,000032
31/12/1998;Estados Unidos;22,3316945
31/12/1998;Resto;0,0022776
31/12/1999;Estados Unidos;15,05782977
31/12/1999;Reino Unido;1,21164
31/12/1999;Resto;0,30023064
31/12/2000;Estados Unidos;23,74086427
31/12/2000;Reino Unido;3,978218
31/12/2000;Resto;0,0804732
31/12/2001;Estados Unidos;23,77661632
31/12/2001;Reino Unido;3,23104
31/12/2001;Resto;0,20571262
31/12/2002;Estados Unidos;20,4080866
31/12/2002;Resto;0,47628538
31/12/2003;Estados Unidos;20,46832303
31/12/2003;Reino Unido;5,7389984
31/12/2003;Resto;0,65299198
31/12/2004;Estados Unidos;37,64239044
31/12/2004;Reino Unido;3,11245428
31/12/2004;Resto;2,08553537
31/12/2005;China;14,82755926
31/12/2005;Estados Unidos;34,12073462
31/12/2005;Reino Unido;3,52736
31/12/2005;Resto;1,83963275
31/12/2006;China;8,88895674
31/12/2006;Estados Unidos;48,59199082
31/12/2006;Reino Unido;3,6727974
31/12/2006;Resto;1,62627471
31/12/2007;China;10,87932952
31/12/2007;Estados Unidos;34,41352444
31/12/2007;Japon;4,56917299
31/12/2007;Reino Unido;5,6019112
31/12/2007;Resto;4,04203136
31/12/2008;China;17,2075212
31/12/2008;Estados Unidos;52,61333096
31/12/2008;Reino Unido;9,90933004
31/12/2008;Resto;3,77543952
31/12/2009;China;9,42386917
31/12/2009;Estados Unidos;42,64880172
31/12/2009;Reino Unido;2,6340128
31/12/2009;Resto;1,53027038
31/12/2010;China;13,16750137
31/12/2010;Estados Unidos;46,13333272
31/12/2010;Japon;8,79575257
31/12/2010;Resto;2,90793645
31/12/2011;Estados Unidos;45,43198104
31/12/2011;Japon;5,30198431
31/12/2011;Resto;4,06829423
31/12/2012;China;11,89907872
31/12/2012;Estados Unidos;34,48040351
31/12/2012;Japon;7,89710017
31/12/2012;Resto;4,16141865
31/12/2013;China;19,16899153
31/12/2013;Estados Unidos;34,75638476
31/12/2013;Resto;7,1508233
31/12/2014;China;41,70652972
31/12/2014;Estados Unidos;25,9409937
31/12/2014;Japon;6,01451914
31/12/2014;Resto;6,78284068
31/12/2015;China;25,250368
31/12/2015;Estados Unidos;52,22259308
31/12/2015;Japon;6,44642171
31/12/2015;Resto;7,01460517
31/12/2016;Belgica;10,57688134
31/12/2016;China;28,96290253
31/12/2016;Corea;11,59886911
31/12/2016;Estados Unidos;70,70793309
31/12/2016;Japon;67,02685676
31/12/2016;Resto;3,05858902
31/12/2017;Belgica;13,63212212
31/12/2017;China;44,63366705
31/12/2017;Corea;24,49444386
31/12/2017;Estados Unidos;54,54789896
31/12/2017;Japon;84,47077352
31/12/2017;Resto;2,0792342
31/12/2018;China;104,6940909
31/12/2018;Corea;39,09497474
31/12/2018;Estados Unidos;59,28002326
31/12/2018;Japon;40,81201634
31/12/2018;Resto;30,69166453
31/12/2019;Belgica;9,39581785
31/12/2019;China;51,81366034
31/12/2019;Estados Unidos;51,4863586
31/12/2019;Japon;52,63573408
31/12/2019;Resto;21,28145494
31/12/2019;Rusia;8,81724
31/12/2020;Alemania;10,03388004
31/12/2020;China;53,99225803
31/12/2020;Estados Unidos;39,79004118
31/12/2020;Japon;7,49336341
31/12/2020;Resto;17,56233878
31/12/2021;Alemania;13,17077448
31/12/2021;China;88,03938238
31/12/2021;Corea;15,432836
31/12/2021;Estados Unidos;39,80015049
31/12/2021;Japon;34,31840592
31/12/2021;Resto;17,40441806
31/12/2022;China;288,2224826
31/12/2022;Corea;89,411426
31/12/2022;Estados Unidos;61,60075208
31/12/2022;Japon;213,9495138
31/12/2022;Resto;41,85831266
31/12/2023;China;364,6162626
31/12/2023;Corea;93,717738
31/12/2023;Estados Unidos;96,88279941
31/12/2023;Japon;213,8487388
31/12/2023;Resto;80,17480071
31/12/2024;China;432,3165586
31/12/2024;Corea;63,383821
31/12/2024;Estados Unidos;87,54825166
31/12/2024;Japon;26,20194484
31/12/2024;Resto;35,94886686
